297d481eb64e44c6b57eadb6f618e267,2a46ac98949f4cb39e46667c53d53fc6,3108d418dead4e50a072a1c92bc07779,534fab8533964d2e93c166dcc9bf72c1,629365f86df041308b985ffd9d4266e0,6b52201c90c646788ff0e7ef37f9dbf2,8fe9fb35d39b452687a3e9d650412807,9bed53cff33c4f94b975c2fcd45d34e0,aa1cc9363f584854b17809e92566d2e4,af078c9e0e484baeb22f79702a3787fe,b37209de2db348eea92bf9ef5485d1ac,cade47e3ddb245e4a3a269f1dd7d77d0,cbf7a7ab9f66459bbc3e0e3e3ba593ec,e604eb4c3a854fb2bfdac7011cf6219d,f80a6f9bb4dd46ccbce1797f5d8b5e4b
16.02,14.43,27.96,27.31,16.44,10.39,28.22,37.25,36.82,39.05,23.39,44.42,27.51,19.86,11.83
13.41,15.19,27.2,19.73,20.69,13.29,15.18,45.27,28.52,27.86,28.84,27.98,27.51,18.83,14.96
16.15,17.92,18.6,20.74,33.35,17.53,11.38,41.62,22.63,27.69,37.08,15.52,23.61,24.68,15.17
14.86,18.19,16.91,27.9,34.7,22.58,12.16,21.07,25.63,22.0,36.73,18.21,34.85,29.8,17.96
11.89,14.85,23.99,32.71,36.69,20.15,16.8,14.69,35.37,22.57,36.73,29.89,37.51,26.37,22.28
11.84,13.98,32.81,34.55,31.44,17.17,22.1,26.11,36.32,22.57,36.73,37.82,14.68,26.44,37.41
14.88,14.63,36.39,18.43,18.15,24.24,26.42,37.34,32.79,22.57,31.32,38.12,21.83,26.3,28.16
14.83,17.04,32.18,18.08,18.32,14.82,23.29,30.23,37.33,22.0,12.11,30.46,25.72,25.91,24.86
13.95,17.81,22.39,26.63,20.52,10.71,15.65,26.19,39.13,22.0,13.51,19.15,27.84,28.48,21.34
15.05,17.42,20.89,26.86,30.57,11.35,12.31,35.75,28.83,26.75,27.0,19.49,30.71,34.45,19.48
12.43,16.62,21.34,30.98,29.85,19.3,18.34,23.92,39.13,26.75,27.0,34.55,30.71,34.51,25.78
16.55,15.86,22.64,25.58,16.92,15.2,17.28,22.75,35.22,16.56,14.4,32.9,30.42,26.48,31.28
16.93,17.32,22.0,20.41,19.49,26.33,18.58,24.76,36.16,22.0,23.0,38.79,30.61,20.9,22.95
19.68,17.81,24.12,22.82,17.3,32.07,16.58,22.25,36.65,22.0,31.74,35.87,23.2,18.4,16.98
16.83,16.62,25.35,21.25,10.27,22.52,13.71,21.59,36.65,22.0,31.74,29.93,19.97,18.14,19.27
13.3,14.68,24.02,41.42,24.92,6.42,11.18,38.61,34.91,22.0,27.0,19.21,22.11,24.68,29.07
10.33,12.97,23.96,42.92,15.8,27.12,13.25,46.99,37.16,22.0,29.14,24.17,22.0,37.04,30.56
21.26,12.25,20.94,30.55,20.53,23.35,19.11,27.25,46.29,24.7,29.14,24.54,22.0,34.09,14.07
14.3,13.38,22.59,23.03,23.33,26.94,28.59,28.72,30.68,24.7,23.92,28.43,23.29,25.53,14.07
14.15,14.79,31.77,32.06,19.05,27.95,27.86,30.4,31.89,24.7,31.59,28.43,23.89,19.13,13.14
10.98,16.43,29.44,23.97,12.51,17.07,15.59,29.68,41.75,46.96,22.87,27.0,18.59,21.36,12.26
13.41,13.83,22.0,18.3,9.26,15.83,13.19,21.19,36.16,13.27,16.56,27.0,24.02,28.82,12.31
17.8,15.43,16.68,23.89,28.22,29.8,13.07,23.75,20.56,11.44,46.22,28.28,24.02,27.78,12.84
15.28,16.59,32.33,22.99,27.0,29.8,16.3,24.49,31.03,15.27,46.22,27.0,29.14,23.3,24.7
16.05,15.76,36.26,19.04,11.06,33.65,17.14,20.26,45.51,23.73,35.37,28.85,29.14,20.74,22.68
27.65,16.95,22.59,22.81,18.95,33.65,31.99,45.43,42.63,33.4,30.22,36.71,22.0,19.58,28.75
28.75,19.51,20.18,21.72,27.31,14.28,29.21,39.02,32.27,38.56,30.11,38.36,22.0,20.34,23.67
16.97,17.97,26.43,19.29,37.23,32.33,15.6,37.64,22.31,27.76,25.2,33.59,24.32,22.75,23.81
18.89,17.09,27.22,21.19,35.4,25.75,14.1,34.18,24.77,16.32,18.66,38.53,35.81,38.53,24.78
24.44,17.22,18.16,20.84,23.19,20.7,19.28,35.23,31.64,22.0,19.76,26.0,28.27,30.13,23.2
22.83,15.13,17.44,27.04,13.84,18.99,30.19,42.82,29.45,22.0,38.86,19.57,41.14,28.31,14.19
26.46,17.14,35.74,15.06,41.91,14.61,26.41,34.73,34.62,22.0,33.92,27.0,26.18,22.59,17.46
22.2,15.55,36.0,24.15,41.23,24.54,19.77,22.65,41.75,22.0,17.1,27.66,22.0,20.78,25.87
17.84,15.11,26.34,29.11,41.45,19.21,12.67,25.39,40.7,22.0,22.44,27.66,22.0,20.34,30.47
14.32,15.88,21.34,26.88,37.6,22.76,12.61,29.28,40.91,22.0,37.47,19.82,25.05,28.69,31.09
11.62,19.97,34.78,31.14,30.58,39.63,16.09,35.83,38.21,22.0,37.47,21.59,25.05,30.08,31.09
16.44,20.92,15.52,21.16,36.34,35.85,31.87,36.35,36.49,22.0,27.0,17.22,22.0,23.73,26.11
35.36,22.0,15.89,14.57,25.41,32.71,34.41,34.98,27.65,21.52,29.16,21.56,30.79,22.86,27.63
